2014, 20.2 , 20.0 , 20.0 , 20.0 , 20.1 , 20.1 , 20.1 , 20.1 , 20.1 , 20.1 , 19.8 , 19.8 ,,
2015, 19.8 , 18.0 , 18.0 , 18.0 , 16.6 , 16.6 , 16.6 , 17.2 , 17.2 , 17.2 , 16.5 , 16.5 ,,
2016, 16.5 , 15.8 , 15.8 , 15.8 , 15.0 , 15.0 , 15.0 , 15.6 , 15.6 , 15.6 , 15.8 , 15.8 ,,
2017, 15.8 , 16.6 , 16.6 , 16.6 , 17.0 , 17.0 , 17.0 , 16.7 , 16.7 , 16.7 , 16.7 , 16.7 ,,
2018, 16.7 , 17.4 , 17.4 , 17.4 , 17.5 , 17.5 , 17.5 , 18.2 , 18.2 , 18.2 , 18.6 , 18.6 ,,
2019, 18.5 , 18.5 , 18.5 , 17.8 , 17.8 , 17.8 , 18.1 , 18.1 , 18.1 , 17.0 , 17.0 , 17.0 ,,
2020, 16.2 , 16.2 , 16.2 , 16.1 , 16.1 , 16.1 , 15.3 , 15.3 , 15.3 , 16.2 , 16.2 , 16.2 ,,
2021, 16.2 , 16.2 , 16.2 , 17.0 , 17.0 , 17.0 ,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Bulk Tariff B,,,,,,,,,,,,Unit: ¢ / kWh,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,
2007, 15.3 , 15.3 , 15.3 , 15.3 , 15.3 , 15.3 , 15.3 , 16.1 , 16.1 , 16.1 , 16.5 , 16.5 ,,
2008, 16.5 , 17.8 , 17.8 , 17.8 , 17.8 , 17.8 , 17.8 , 18.9 , 19.7 , 19.7 , 19.7 , 19.7 ,,
2009, 19.7 , 13.6 , 13.6 , 13.6 , 13.6 , 13.6 , 13.6 , 14.8 , 14.8 , 14.8 , 17.0 , 17.0 ,,
2010, 17.0 , 17.4 , 17.4 , 17.4 , 17.4 , 17.4 , 17.4 , 17.4 , 17.4 , 17.4 , 16.5 , 16.5 ,,
2011, 16.5 , 16.5 , 16.5 , 16.5 , 16.5 , 16.5 , 16.5 , 18.1 , 18.1 , 18.1 , 19.7 , 19.7 ,,
2012, 19.7 , 19.9 , 19.9 , 19.9 , 20.7 , 20.7 , 20.7 , 20.1 , 20.1 , 20.1 , 19.9 , 19.9 ,,
2013, 19.9 , 19.6 , 19.6 , 19.6 , 19.8 , 19.8 , 19.8 , 19.4 , 19.4 , 19.4 , 19.7 , 19.7 ,,
2014, 19.7 , 19.5 , 19.5 , 19.5 , 19.6 , 19.6 , 19.6 , 19.6 , 19.6 , 19.6 , 19.3 , 19.3 ,,
2015, 19.3 , 17.5 , 17.5 , 17.5 , 16.1 , 16.1 , 16.1 , 16.7 , 16.7 , 16.7 , 16.0 , 16.0 ,,
2016, 16.0 , 15.3 , 15.3 , 15.3 , 14.5 , 14.5 , 14.5 , 15.1 , 15.1 , 15.1 , 15.3 , 15.3 ,,
2017, 15.3 , 16.1 , 16.1 , 16.1 , 16.5 , 16.5 , 16.5 , 16.2 , 16.2 , 16.2 , 16.2 , 16.2 ,,
2018, 16.2 , 16.9 , 16.9 , 16.9 , 17.0 , 17.0 , 17.0 , 17.7 , 17.7 , 17.7 , 18.1 , 18.1 ,,
2019, 18.0 , 18.0 , 18.0 , 17.3 , 17.3 , 17.3 , 17.6 , 17.6 , 17.6 , 16.4 , 16.4 , 16.4 ,,
2020, 15.7 , 15.7 , 15.7 , 15.6 , 15.6 , 15.6 , 14.8 , 14.8 , 14.8 , 15.6 , 15.6 , 15.6 ,,
2021, 15.7 , 15.7 , 15.7 , 16.5 , 16.5 , 16.5 ,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,Sources: City Gas Pte Ltd & Energy Market Authority (EMA),,
,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
"a. Bulk Tariff A applies for minimum consumption of 1,000 kWh of gas per month.",,,,,,,,,,,,,,
"b. Bulk Tariff B applies for minimum consumption of 50,000 kWh of gas per month.",,,,,,,,,,,,,,
c. Rates are not inclusive of GST.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Notations:,,,,,,,,,,,,,,
" - nil, negligible or not applicable.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
